Geography,Financial Year,Budget Phase,Class,Total,Percent Increase
NW375,2017/18,Audited Outcome,Middle Income Range,476.84,
NW375,2018/19,Original Budget,Middle Income Range,539.68,13.18
NW375,2018/19,Adjusted Budget,Middle Income Range,539.68,
NW375,2019/20,Budget Year,Middle Income Range,577.35,6.98
NW375,2020/21,Budget Year,Middle Income Range,632.92,9.63
NW375,2021/22,Budget Year,Middle Income Range,693.92,9.64
NW375,2015/16,Audited Outcome,Affordable Range,352.14,
NW375,2016/17,Audited Outcome,Affordable Range,387.18,9.95
NW375,2017/18,Audited Outcome,Affordable Range,387.18,
NW375,2018/19,Original Budget,Affordable Range,438.51,13.26
NW375,2018/19,Adjusted Budget,Affordable Range,438.51,
NW375,2019/20,Budget Year,Affordable Range,469.17,6.99
NW375,2020/21,Budget Year,Affordable Range,514.49,9.66
NW375,2021/22,Budget Year,Affordable Range,564.26,9.67
NW375,2015/16,Audited Outcome,Indigent HH receiving FBS,269.04,
NW375,2016/17,Audited Outcome,Indigent HH receiving FBS,295.13,9.7
NW375,2017/18,Audited Outcome,Indigent HH receiving FBS,295.13,
NW375,2018/19,Original Budget,Indigent HH receiving FBS,369.3,25.13
NW375,2018/19,Adjusted Budget,Indigent HH receiving FBS,369.3,
NW375,2019/20,Budget Year,Indigent HH receiving FBS,408.93,10.73
NW375,2020/21,Budget Year,Indigent HH receiving FBS,449.09,9.82
NW375,2021/22,Budget Year,Indigent HH receiving FBS,493.23,9.83
DC37,2015/16,Audited Outcome,Middle Income Range,,
DC37,2016/17,Audited Outcome,Middle Income Range,,
DC37,2017/18,Audited Outcome,Middle Income Range,,
DC37,2018/19,Original Budget,Middle Income Range,,
DC37,2018/19,Adjusted Budget,Middle Income Range,,
DC37,2019/20,Budget Year,Middle Income Range,,
DC37,2020/21,Budget Year,Middle Income Range,,
DC37,2021/22,Budget Year,Middle Income Range,,
DC37,2015/16,Audited Outcome,Affordable Range,,
DC37,2016/17,Audited Outcome,Affordable Range,,
DC37,2017/18,Audited Outcome,Affordable Range,,
DC37,2018/19,Original Budget,Affordable Range,,
DC37,2018/19,Adjusted Budget,Affordable Range,,
DC37,2019/20,Budget Year,Affordable Range,,
DC37,2020/21,Budget Year,Affordable Range,,
DC37,2021/22,Budget Year,Affordable Range,,
DC37,2015/16,Audited Outcome,Indigent HH receiving FBS,,
DC37,2016/17,Audited Outcome,Indigent HH receiving FBS,,
DC37,2017/18,Audited Outcome,Indigent HH receiving FBS,,
DC37,2018/19,Original Budget,Indigent HH receiving FBS,,
DC37,2018/19,Adjusted Budget,Indigent HH receiving FBS,,
DC37,2019/20,Budget Year,Indigent HH receiving FBS,,
DC37,2020/21,Budget Year,Indigent HH receiving FBS,,
DC37,2021/22,Budget Year,Indigent HH receiving FBS,,
NW381,2015/16,Audited Outcome,Middle Income Range,,
NW381,2016/17,Audited Outcome,Middle Income Range,,
NW381,2017/18,Audited Outcome,Middle Income Range,,
NW381,2018/19,Original Budget,Middle Income Range,,
NW381,2018/19,Adjusted Budget,Middle Income Range,,
NW381,2019/20,Budget Year,Middle Income Range,,
NW381,2020/21,Budget Year,Middle Income Range,,
NW381,2021/22,Budget Year,Middle Income Range,,
NW381,2015/16,Audited Outcome,Affordable Range,,
NW381,2016/17,Audited Outcome,Affordable Range,,
NW381,2017/18,Audited Outcome,Affordable Range,,
NW381,2018/19,Original Budget,Affordable Range,,
NW381,2018/19,Adjusted Budget,Affordable Range,,
NW381,2019/20,Budget Year,Affordable Range,,
NW381,2020/21,Budget Year,Affordable Range,,
NW381,2021/22,Budget Year,Affordable Range,,
NW381,2015/16,Audited Outcome,Indigent HH receiving FBS,,
NW381,2016/17,Audited Outcome,Indigent HH receiving FBS,,
NW381,2017/18,Audited Outcome,Indigent HH receiving FBS,,
NW381,2018/19,Original Budget,Indigent HH receiving FBS,,
NW381,2018/19,Adjusted Budget,Indigent HH receiving FBS,,
NW381,2019/20,Budget Year,Indigent HH receiving FBS,,
NW381,2020/21,Budget Year,Indigent HH receiving FBS,,
NW381,2021/22,Budget Year,Indigent HH receiving FBS,,
NW382,2015/16,Audited Outcome,Middle Income Range,1774.0,
NW382,2016/17,Audited Outcome,Middle Income Range,1952.61,10.07
NW382,2017/18,Audited Outcome,Middle Income Range,2103.71,7.74
NW382,2018/19,Original Budget,Middle Income Range,2103.71,
NW382,2018/19,Adjusted Budget,Middle Income Range,2103.71,
NW382,2019/20,Budget Year,Middle Income Range,2213.1,5.2
NW382,2020/21,Budget Year,Middle Income Range,2332.61,5.4
NW382,2021/22,Budget Year,Middle Income Range,2458.57,5.4
NW382,2015/16,Audited Outcome,Affordable Range,1224.32,
NW382,2016/17,Audited Outcome,Affordable Range,1320.27,7.84
NW382,2017/18,Audited Outcome,Affordable Range,1320.27,
NW382,2018/19,Original Budget,Affordable Range,1320.27,
NW382,2018/19,Adjusted Budget,Affordable Range,1320.27,
NW382,2019/20,Budget Year,Affordable Range,1388.92,5.2
NW382,2020/21,Budget Year,Affordable Range,1463.93,5.4
NW382,2021/22,Budget Year,Affordable Range,1542.98,5.4
NW382,2015/16,Audited Outcome,Indigent HH receiving FBS,862.04,
NW382,2016/17,Audited Outcome,Indigent HH receiving FBS,862.04,
NW382,2017/18,Audited Outcome,Indigent HH receiving FBS,929.84,7.87
NW382,2018/19,Original Budget,Indigent HH receiving FBS,720.53,-22.51
NW382,2018/19,Adjusted Budget,Indigent HH receiving FBS,720.53,
NW382,2019/20,Budget Year,Indigent HH receiving FBS,757.99,5.2
NW382,2020/21,Budget Year,Indigent HH receiving FBS,798.92,5.4
NW382,2021/22,Budget Year,Indigent HH receiving FBS,842.07,5.4
NW383,2015/16,Audited Outcome,Middle Income Range,0.36,
NW383,2016/17,Audited Outcome,Middle Income Range,0.51,41.67
NW383,2017/18,Audited Outcome,Middle Income Range,,-100.0
NW383,2018/19,Original Budget,Middle Income Range,0.61,
NW383,2018/19,Adjusted Budget,Middle Income Range,-0.99,-262.39
NW383,2019/20,Budget Year,Middle Income Range,0.56,6.99
NW383,2020/21,Budget Year,Middle Income Range,0.92,64.29
NW383,2021/22,Budget Year,Middle Income Range,0.46,-50.0
NW383,2015/16,Audited Outcome,Affordable Range,0.36,
NW383,2016/17,Audited Outcome,Affordable Range,0.51,41.67
NW383,2017/18,Audited Outcome,Affordable Range,,-100.0
NW383,2018/19,Original Budget,Affordable Range,0.61,
NW383,2018/19,Adjusted Budget,Affordable Range,1.13,85.35
NW383,2019/20,Budget Year,Affordable Range,0.56,6.99
NW383,2020/21,Budget Year,Affordable Range,0.92,64.29
NW383,2021/22,Budget Year,Affordable Range,0.46,-50.0
NW383,2015/16,Audited Outcome,Indigent HH receiving FBS,0.36,
NW383,2016/17,Audited Outcome,Indigent HH receiving FBS,0.51,41.67
NW383,2017/18,Audited Outcome,Indigent HH receiving FBS,,-100.0
NW383,2018/19,Original Budget,Indigent HH receiving FBS,0.61,
NW383,2018/19,Adjusted Budget,Indigent HH receiving FBS,1.13,85.35
NW383,2019/20,Budget Year,Indigent HH receiving FBS,0.56,6.99
NW383,2020/21,Budget Year,Indigent HH receiving FBS,0.92,64.29
NW383,2021/22,Budget Year,Indigent HH receiving FBS,0.46,-50.0
NW384,2015/16,Audited Outcome,Middle Income Range,,
NW384,2016/17,Audited Outcome,Middle Income Range,,
NW384,2017/18,Audited Outcome,Middle Income Range,,
NW384,2018/19,Original Budget,Middle Income Range,,
NW384,2018/19,Adjusted Budget,Middle Income Range,,
NW384,2019/20,Budget Year,Middle Income Range,,
NW384,2020/21,Budget Year,Middle Income Range,,
NW384,2021/22,Budget Year,Middle Income Range,,
NW384,2015/16,Audited Outcome,Affordable Range,,
NW384,2016/17,Audited Outcome,Affordable Range,,
NW384,2017/18,Audited Outcome,Affordable Range,,
NW384,2018/19,Original Budget,Affordable Range,,
NW384,2018/19,Adjusted Budget,Affordable Range,,
NW384,2019/20,Budget Year,Affordable Range,,
NW384,2020/21,Budget Year,Affordable Range,,
NW384,2021/22,Budget Year,Affordable Range,,
NW384,2015/16,Audited Outcome,Indigent HH receiving FBS,,
NW384,2016/17,Audited Outcome,Indigent HH receiving FBS,,
NW384,2017/18,Audited Outcome,Indigent HH receiving FBS,,
NW384,2018/19,Original Budget,Indigent HH receiving FBS,,
NW384,2018/19,Adjusted Budget,Indigent HH receiving FBS,,
NW384,2019/20,Budget Year,Indigent HH receiving FBS,,
NW384,2020/21,Budget Year,Indigent HH receiving FBS,,
NW384,2021/22,Budget Year,Indigent HH receiving FBS,,
NW385,2015/16,Audited Outcome,Middle Income Range,,
NW385,2016/17,Audited Outcome,Middle Income Range,2607.67,
NW385,2017/18,Audited Outcome,Middle Income Range,,-100.0
NW385,2018/19,Original Budget,Middle Income Range,2334.11,
NW385,2018/19,Adjusted Budget,Middle Income Range,,-100.0
NW385,2019/20,Budget Year,Middle Income Range,2431.71,
NW385,2020/21,Budget Year,Middle Income Range,2538.32,4.38
NW385,2021/22,Budget Year,Middle Income Range,2650.7,4.43
NW385,2015/16,Audited Outcome,Affordable Range,,
NW385,2016/17,Audited Outcome,Affordable Range,1605.77,
NW385,2017/18,Audited Outcome,Affordable Range,,-100.0
NW385,2018/19,Original Budget,Affordable Range,1317.86,
NW385,2018/19,Adjusted Budget,Affordable Range,,-100.0
NW385,2019/20,Budget Year,Affordable Range,1368.06,
NW385,2020/21,Budget Year,Affordable Range,1422.9,4.01
NW385,2021/22,Budget Year,Affordable Range,1480.7,4.06
NW385,2015/16,Audited Outcome,Indigent HH receiving FBS,,
NW385,2016/17,Audited Outcome,Indigent HH receiving FBS,1043.1,
NW385,2017/18,Audited Outcome,Indigent HH receiving FBS,,-100.0
NW385,2018/19,Original Budget,Indigent HH receiving FBS,843.89,
NW385,2018/19,Adjusted Budget,Indigent HH receiving FBS,,-100.0
NW385,2019/20,Budget Year,Indigent HH receiving FBS,930.78,
NW385,2020/21,Budget Year,Indigent HH receiving FBS,1028.61,10.51
NW385,2021/22,Budget Year,Indigent HH receiving FBS,1138.28,10.66
DC38,2015/16,Audited Outcome,Middle Income Range,,
DC38,2016/17,Audited Outcome,Middle Income Range,,
DC38,2017/18,Audited Outcome,Middle Income Range,,
DC38,2018/19,Original Budget,Middle Income Range,,
DC38,2018/19,Adjusted Budget,Middle Income Range,,
DC38,2019/20,Budget Year,Middle Income Range,,
DC38,2020/21,Budget Year,Middle Income Range,,
DC38,2021/22,Budget Year,Middle Income Range,,
DC38,2015/16,Audited Outcome,Affordable Range,,
DC38,2016/17,Audited Outcome,Affordable Range,,
DC38,2017/18,Audited Outcome,Affordable Range,,
DC38,2018/19,Original Budget,Affordable Range,,
DC38,2018/19,Adjusted Budget,Affordable Range,,
DC38,2019/20,Budget Year,Affordable Range,,
DC38,2020/21,Budget Year,Affordable Range,,
DC38,2021/22,Budget Year,Affordable Range,,
DC38,2015/16,Audited Outcome,Indigent HH receiving FBS,,
DC38,2016/17,Audited Outcome,Indigent HH receiving FBS,,
DC38,2017/18,Audited Outcome,Indigent HH receiving FBS,,
DC38,2018/19,Original Budget,Indigent HH receiving FBS,,
DC38,2018/19,Adjusted Budget,Indigent HH receiving FBS,,
DC38,2019/20,Budget Year,Indigent HH receiving FBS,,
DC38,2020/21,Budget Year,Indigent HH receiving FBS,,
DC38,2021/22,Budget Year,Indigent HH receiving FBS,,
NW392,2015/16,Audited Outcome,Middle Income Range,2069.61,
NW392,2016/17,Audited Outcome,Middle Income Range,2239.7,8.22
NW392,2017/18,Audited Outcome,Middle Income Range,2408.03,7.52
NW392,2018/19,Original Budget,Middle Income Range,2564.57,6.5
NW392,2018/19,Adjusted Budget,Middle Income Range,2564.57,
NW392,2019/20,Budget Year,Middle Income Range,2800.38,9.2
NW392,2020/21,Budget Year,Middle Income Range,2951.6,5.4
NW392,2021/22,Budget Year,Middle Income Range,3110.99,5.4
NW392,2015/16,Audited Outcome,Affordable Range,1203.72,
NW392,2016/17,Audited Outcome,Affordable Range,1302.33,8.19
NW392,2017/18,Audited Outcome,Affordable Range,1399.99,7.5
NW392,2018/19,Original Budget,Affordable Range,1490.88,6.49
NW392,2018/19,Adjusted Budget,Affordable Range,1490.88,
NW392,2019/20,Budget Year,Affordable Range,1636.62,9.78
NW392,2020/21,Budget Year,Affordable Range,1724.34,5.36
NW392,2021/22,Budget Year,Affordable Range,1817.45,5.4
NW392,2015/16,Audited Outcome,Indigent HH receiving FBS,1203.72,
NW392,2016/17,Audited Outcome,Indigent HH receiving FBS,1302.33,8.19
NW392,2017/18,Audited Outcome,Indigent HH receiving FBS,1399.99,7.5
NW392,2018/19,Original Budget,Indigent HH receiving FBS,1490.88,6.49
NW392,2018/19,Adjusted Budget,Indigent HH receiving FBS,1490.88,
NW392,2019/20,Budget Year,Indigent HH receiving FBS,1636.61,9.78
NW392,2020/21,Budget Year,Indigent HH receiving FBS,1724.99,5.4
NW392,2021/22,Budget Year,Indigent HH receiving FBS,1818.14,5.4
NW393,2015/16,Audited Outcome,Middle Income Range,7262847.97,
NW393,2016/17,Audited Outcome,Middle Income Range,3413024.93,-53.01
NW393,2017/18,Audited Outcome,Middle Income Range,,-100.0
NW393,2018/19,Original Budget,Middle Income Range,12404929.71,
NW393,2018/19,Adjusted Budget,Middle Income Range,0.34,-100.0
NW393,2019/20,Budget Year,Middle Income Range,3051947.03,17.45
NW393,2020/21,Budget Year,Middle Income Range,,-100.0
NW393,2021/22,Budget Year,Middle Income Range,,
NW393,2015/16,Audited Outcome,Affordable Range,5425437.58,
NW393,2016/17,Audited Outcome,Affordable Range,5395972.25,-0.54
NW393,2017/18,Audited Outcome,Affordable Range,9428250.75,74.73
NW393,2018/19,Original Budget,Affordable Range,5681466.41,-39.74
NW393,2018/19,Adjusted Budget,Affordable Range,,-100.0
NW393,2019/20,Budget Year,Affordable Range,6182689.0,8.82
NW393,2020/21,Budget Year,Affordable Range,6743323.65,9.07
NW393,2021/22,Budget Year,Affordable Range,7363871.35,9.2
NW393,2015/16,Audited Outcome,Indigent HH receiving FBS,902487.41,
NW393,2016/17,Audited Outcome,Indigent HH receiving FBS,950319.25,5.3
NW393,2017/18,Audited Outcome,Indigent HH receiving FBS,1000686.17,5.3
NW393,2018/19,Original Budget,Indigent HH receiving FBS,1000686.17,
NW393,2018/19,Adjusted Budget,Indigent HH receiving FBS,,-100.0
NW393,2019/20,Budget Year,Indigent HH receiving FBS,1070363.76,6.96
NW393,2020/21,Budget Year,Indigent HH receiving FBS,1147604.19,7.22
NW393,2021/22,Budget Year,Indigent HH receiving FBS,1179234.66,2.76
NW394,2015/16,Audited Outcome,Middle Income Range,920.66,
NW394,2016/17,Audited Outcome,Middle Income Range,713.94,-22.45
NW394,2017/18,Audited Outcome,Middle Income Range,,-100.0
NW394,2018/19,Original Budget,Middle Income Range,1474.91,
NW394,2018/19,Adjusted Budget,Middle Income Range,,-100.0
NW394,2019/20,Budget Year,Middle Income Range,,
NW394,2020/21,Budget Year,Middle Income Range,,
NW394,2021/22,Budget Year,Middle Income Range,,
NW394,2015/16,Audited Outcome,Affordable Range,529.16,
NW394,2016/17,Audited Outcome,Affordable Range,550.39,4.01
NW394,2017/18,Audited Outcome,Affordable Range,,-100.0
NW394,2018/19,Original Budget,Affordable Range,811.67,
NW394,2018/19,Adjusted Budget,Affordable Range,,-100.0
NW394,2019/20,Budget Year,Affordable Range,,
NW394,2020/21,Budget Year,Affordable Range,,
NW394,2021/22,Budget Year,Affordable Range,,
NW394,2015/16,Audited Outcome,Indigent HH receiving FBS,403.95,
NW394,2016/17,Audited Outcome,Indigent HH receiving FBS,289.17,-28.41
NW394,2017/18,Audited Outcome,Indigent HH receiving FBS,,-100.0
NW394,2018/19,Original Budget,Indigent HH receiving FBS,1309.62,
NW394,2018/19,Adjusted Budget,Indigent HH receiving FBS,,-100.0
NW394,2019/20,Budget Year,Indigent HH receiving FBS,,
NW394,2020/21,Budget Year,Indigent HH receiving FBS,,
NW394,2021/22,Budget Year,Indigent HH receiving FBS,,
NW396,2015/16,Audited Outcome,Middle Income Range,2272.88,
NW396,2016/17,Audited Outcome,Middle Income Range,2474.55,8.87
NW396,2017/18,Audited Outcome,Middle Income Range,2174.98,-12.11
NW396,2018/19,Original Budget,Middle Income Range,2304.76,5.97
NW396,2018/19,Adjusted Budget,Middle Income Range,2304.76,
NW396,2019/20,Budget Year,Middle Income Range,2413.67,4.73
NW396,2020/21,Budget Year,Middle Income Range,2544.01,5.4
NW396,2021/22,Budget Year,Middle Income Range,2681.38,5.4
NW396,2015/16,Audited Outcome,Affordable Range,1450.76,
NW396,2016/17,Audited Outcome,Affordable Range,1597.55,10.12
NW396,2017/18,Audited Outcome,Affordable Range,1609.77,0.76
NW396,2018/19,Original Budget,Affordable Range,1803.65,12.04
NW396,2018/19,Adjusted Budget,Affordable Range,1803.65,
NW396,2019/20,Budget Year,Affordable Range,2131.95,18.2
NW396,2020/21,Budget Year,Affordable Range,2247.08,5.4
NW396,2021/22,Budget Year,Affordable Range,2368.42,5.4
NW396,2015/16,Audited Outcome,Indigent HH receiving FBS,385.99,
NW396,2016/17,Audited Outcome,Indigent HH receiving FBS,412.55,6.88
NW396,2017/18,Audited Outcome,Indigent HH receiving FBS,694.74,68.4
NW396,2018/19,Original Budget,Indigent HH receiving FBS,734.74,5.76
NW396,2018/19,Adjusted Budget,Indigent HH receiving FBS,734.74,
NW396,2019/20,Budget Year,Indigent HH receiving FBS,776.51,5.69
NW396,2020/21,Budget Year,Indigent HH receiving FBS,818.44,5.4
NW396,2021/22,Budget Year,Indigent HH receiving FBS,862.64,5.4
NW397,2015/16,Audited Outcome,Middle Income Range,,
NW397,2016/17,Audited Outcome,Middle Income Range,,
NW397,2017/18,Audited Outcome,Middle Income Range,,
NW397,2018/19,Original Budget,Middle Income Range,,
NW397,2018/19,Adjusted Budget,Middle Income Range,,
NW397,2019/20,Budget Year,Middle Income Range,,
NW397,2020/21,Budget Year,Middle Income Range,,
NW397,2021/22,Budget Year,Middle Income Range,,
NW397,2015/16,Audited Outcome,Affordable Range,,
NW397,2016/17,Audited Outcome,Affordable Range,,
NW397,2017/18,Audited Outcome,Affordable Range,,
NW397,2018/19,Original Budget,Affordable Range,,
NW397,2018/19,Adjusted Budget,Affordable Range,,
NW397,2019/20,Budget Year,Affordable Range,,
NW397,2020/21,Budget Year,Affordable Range,,
NW397,2021/22,Budget Year,Affordable Range,,
NW397,2015/16,Audited Outcome,Indigent HH receiving FBS,,
NW397,2016/17,Audited Outcome,Indigent HH receiving FBS,,
NW397,2017/18,Audited Outcome,Indigent HH receiving FBS,,
NW397,2018/19,Original Budget,Indigent HH receiving FBS,,
NW397,2018/19,Adjusted Budget,Indigent HH receiving FBS,,
NW397,2019/20,Budget Year,Indigent HH receiving FBS,,
NW397,2020/21,Budget Year,Indigent HH receiving FBS,,
NW397,2021/22,Budget Year,Indigent HH receiving FBS,,
DC39,2015/16,Audited Outcome,Middle Income Range,,
DC39,2016/17,Audited Outcome,Middle Income Range,,
DC39,2017/18,Audited Outcome,Middle Income Range,,
DC39,2018/19,Original Budget,Middle Income Range,,
DC39,2018/19,Adjusted Budget,Middle Income Range,,
DC39,2019/20,Budget Year,Middle Income Range,,
DC39,2020/21,Budget Year,Middle Income Range,,
DC39,2021/22,Budget Year,Middle Income Range,,
DC39,2015/16,Audited Outcome,Affordable Range,,
DC39,2016/17,Audited Outcome,Affordable Range,,
DC39,2017/18,Audited Outcome,Affordable Range,,
DC39,2018/19,Original Budget,Affordable Range,,
DC39,2018/19,Adjusted Budget,Affordable Range,,
DC39,2019/20,Budget Year,Affordable Range,,
DC39,2020/21,Budget Year,Affordable Range,,
DC39,2021/22,Budget Year,Affordable Range,,
DC39,2015/16,Audited Outcome,Indigent HH receiving FBS,,
DC39,2016/17,Audited Outcome,Indigent HH receiving FBS,,
DC39,2017/18,Audited Outcome,Indigent HH receiving FBS,,
DC39,2018/19,Original Budget,Indigent HH receiving FBS,,
DC39,2018/19,Adjusted Budget,Indigent HH receiving FBS,,
DC39,2019/20,Budget Year,Indigent HH receiving FBS,,
DC39,2020/21,Budget Year,Indigent HH receiving FBS,,
DC39,2021/22,Budget Year,Indigent HH receiving FBS,,
NW403,2015/16,Audited Outcome,Middle Income Range,0.66,
NW403,2016/17,Audited Outcome,Middle Income Range,0.54,-18.43
NW403,2017/18,Audited Outcome,Middle Income Range,0.5,-7.63
NW403,2018/19,Original Budget,Middle Income Range,3204.67,642375.94
NW403,2018/19,Adjusted Budget,Middle Income Range,3204.67,
NW403,2019/20,Budget Year,Middle Income Range,3771.13,17.68
NW403,2020/21,Budget Year,Middle Income Range,4127.92,9.46
NW403,2021/22,Budget Year,Middle Income Range,4523.0,9.57
NW403,2015/16,Audited Outcome,Affordable Range,2041.53,
NW403,2016/17,Audited Outcome,Affordable Range,0.48,-99.98
NW403,2017/18,Audited Outcome,Affordable Range,0.44,-8.58
NW403,2018/19,Original Budget,Affordable Range,2474.54,563833.45
NW403,2018/19,Adjusted Budget,Affordable Range,2474.54,
NW403,2019/20,Budget Year,Affordable Range,2413.75,-2.46
NW403,2020/21,Budget Year,Affordable Range,2611.7,8.2
NW403,2021/22,Budget Year,Affordable Range,2828.93,8.32
NW403,2015/16,Audited Outcome,Indigent HH receiving FBS,747.98,
NW403,2016/17,Audited Outcome,Indigent HH receiving FBS,747.98,
NW403,2017/18,Audited Outcome,Indigent HH receiving FBS,757.4,1.26
NW403,2018/19,Original Budget,Indigent HH receiving FBS,694.79,-8.27
NW403,2018/19,Adjusted Budget,Indigent HH receiving FBS,694.78,
NW403,2019/20,Budget Year,Indigent HH receiving FBS,762.93,9.81
NW403,2020/21,Budget Year,Indigent HH receiving FBS,844.16,10.65
NW403,2021/22,Budget Year,Indigent HH receiving FBS,934.81,10.74
NW404,2015/16,Audited Outcome,Middle Income Range,,
NW404,2016/17,Audited Outcome,Middle Income Range,,
NW404,2017/18,Audited Outcome,Middle Income Range,,
NW404,2018/19,Original Budget,Middle Income Range,,
NW404,2018/19,Adjusted Budget,Middle Income Range,,
NW404,2019/20,Budget Year,Middle Income Range,,
NW404,2020/21,Budget Year,Middle Income Range,,
NW404,2021/22,Budget Year,Middle Income Range,,
NW404,2015/16,Audited Outcome,Affordable Range,,
NW404,2016/17,Audited Outcome,Affordable Range,,
NW404,2017/18,Audited Outcome,Affordable Range,,
NW404,2018/19,Original Budget,Affordable Range,,
NW404,2018/19,Adjusted Budget,Affordable Range,,
NW404,2019/20,Budget Year,Affordable Range,,
NW404,2020/21,Budget Year,Affordable Range,,
NW404,2021/22,Budget Year,Affordable Range,,
NW404,2015/16,Audited Outcome,Indigent HH receiving FBS,,
NW404,2016/17,Audited Outcome,Indigent HH receiving FBS,,
NW404,2017/18,Audited Outcome,Indigent HH receiving FBS,,
NW404,2018/19,Original Budget,Indigent HH receiving FBS,,
NW404,2018/19,Adjusted Budget,Indigent HH receiving FBS,,
NW404,2019/20,Budget Year,Indigent HH receiving FBS,,
NW404,2020/21,Budget Year,Indigent HH receiving FBS,,
NW404,2021/22,Budget Year,Indigent HH receiving FBS,,
NW405,2015/16,Audited Outcome,Middle Income Range,,
NW405,2016/17,Audited Outcome,Middle Income Range,,
NW405,2017/18,Audited Outcome,Middle Income Range,,
NW405,2018/19,Original Budget,Middle Income Range,1846.03,
NW405,2018/19,Adjusted Budget,Middle Income Range,1846.03,
NW405,2019/20,Budget Year,Middle Income Range,1956.78,6.0
NW405,2020/21,Budget Year,Middle Income Range,2073.13,5.95
NW405,2021/22,Budget Year,Middle Income Range,2196.97,5.97
NW405,2015/16,Audited Outcome,Affordable Range,,
NW405,2016/17,Audited Outcome,Affordable Range,,
NW405,2017/18,Audited Outcome,Affordable Range,127.56,
NW405,2018/19,Original Budget,Affordable Range,131.78,3.31
NW405,2018/19,Adjusted Budget,Affordable Range,131.78,
NW405,2019/20,Budget Year,Affordable Range,139.7,6.01
NW405,2020/21,Budget Year,Affordable Range,148.07,5.99
NW405,2021/22,Budget Year,Affordable Range,156.95,6.0
NW405,2015/16,Audited Outcome,Indigent HH receiving FBS,,
NW405,2016/17,Audited Outcome,Indigent HH receiving FBS,,
NW405,2017/18,Audited Outcome,Indigent HH receiving FBS,,
NW405,2018/19,Original Budget,Indigent HH receiving FBS,283.33,
NW405,2018/19,Adjusted Budget,Indigent HH receiving FBS,283.33,
NW405,2019/20,Budget Year,Indigent HH receiving FBS,160.69,-43.29
NW405,2020/21,Budget Year,Indigent HH receiving FBS,170.32,5.99
NW405,2021/22,Budget Year,Indigent HH receiving FBS,180.54,6.0
DC40,2015/16,Audited Outcome,Middle Income Range,,
DC40,2016/17,Audited Outcome,Middle Income Range,,
DC40,2017/18,Audited Outcome,Middle Income Range,,
DC40,2018/19,Original Budget,Middle Income Range,,
DC40,2018/19,Adjusted Budget,Middle Income Range,,
DC40,2019/20,Budget Year,Middle Income Range,,
DC40,2020/21,Budget Year,Middle Income Range,,
DC40,2021/22,Budget Year,Middle Income Range,,
DC40,2015/16,Audited Outcome,Affordable Range,,
DC40,2016/17,Audited Outcome,Affordable Range,,
DC40,2017/18,Audited Outcome,Affordable Range,,
DC40,2018/19,Original Budget,Affordable Range,,
DC40,2018/19,Adjusted Budget,Affordable Range,,
DC40,2019/20,Budget Year,Affordable Range,,
DC40,2020/21,Budget Year,Affordable Range,,
DC40,2021/22,Budget Year,Affordable Range,,
DC40,2015/16,Audited Outcome,Indigent HH receiving FBS,,
DC40,2016/17,Audited Outcome,Indigent HH receiving FBS,,
DC40,2017/18,Audited Outcome,Indigent HH receiving FBS,,
DC40,2018/19,Original Budget,Indigent HH receiving FBS,,
DC40,2018/19,Adjusted Budget,Indigent HH receiving FBS,,
DC40,2019/20,Budget Year,Indigent HH receiving FBS,,
DC40,2020/21,Budget Year,Indigent HH receiving FBS,,
DC40,2021/22,Budget Year,Indigent HH receiving FBS,,
CPT,2015/16,Audited Outcome,Middle Income Range,3038.59,
CPT,2016/17,Audited Outcome,Middle Income Range,3599.19,18.45
CPT,2017/18,Audited Outcome,Middle Income Range,9164.94,154.64
CPT,2018/19,Original Budget,Middle Income Range,17578.92,91.81
CPT,2018/19,Adjusted Budget,Middle Income Range,17578.92,
CPT,2019/20,Budget Year,Middle Income Range,4965.26,-71.75
CPT,2020/21,Budget Year,Middle Income Range,5312.82,7.0
CPT,2021/22,Budget Year,Middle Income Range,5737.85,8.0
CPT,2015/16,Audited Outcome,Affordable Range,1704.01,
CPT,2016/17,Audited Outcome,Affordable Range,2009.5,17.93
CPT,2017/18,Audited Outcome,Affordable Range,5777.81,187.52
CPT,2018/19,Original Budget,Affordable Range,10041.39,73.79
CPT,2018/19,Adjusted Budget,Affordable Range,10041.39,
CPT,2019/20,Budget Year,Affordable Range,2909.51,-71.02
CPT,2020/21,Budget Year,Affordable Range,3113.18,7.0
CPT,2021/22,Budget Year,Affordable Range,3362.24,8.0
CPT,2015/16,Audited Outcome,Indigent HH receiving FBS,773.59,
CPT,2016/17,Audited Outcome,Indigent HH receiving FBS,957.62,23.79
CPT,2017/18,Audited Outcome,Indigent HH receiving FBS,2336.44,143.99
CPT,2018/19,Original Budget,Indigent HH receiving FBS,2730.45,16.86
CPT,2018/19,Adjusted Budget,Indigent HH receiving FBS,2730.45,
CPT,2019/20,Budget Year,Indigent HH receiving FBS,1151.73,-57.82
CPT,2020/21,Budget Year,Indigent HH receiving FBS,1232.35,7.0
CPT,2021/22,Budget Year,Indigent HH receiving FBS,1330.94,8.0
WC011,2015/16,Audited Outcome,Middle Income Range,2886.07,
WC011,2016/17,Audited Outcome,Middle Income Range,3084.49,6.87
WC011,2017/18,Audited Outcome,Middle Income Range,3025.11,-1.92
WC011,2018/19,Original Budget,Middle Income Range,3217.35,6.35
